Movie Name,IMDb Rating,Year,Certificates,Genre,Director,Star Cast
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder
Dune,8,2021,PG-13,Action,Denis Villeneuve,Jon SpaihtsDenis VilleneuveEric Roth
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett
Madame Web,3.9,2024,PG-13,Action,S.J. Clarkson,Matt SazamaBurk SharplessClaire Parker
Civil War,7.4,2024,R,Action,Alex Garland,Kirsten DunstWagner MouraCailee Spaeny
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown
Dune: Part Two,8.6,2024,PG-13,Action,Denis Villeneuve,Timothée ChalametZendayaRebecca Ferguson
Kingdom of the Planet of the Apes,7.2,2024,PG-13,Action,Wes Ball,Owen TeagueFreya AllanKevin Durand
Furiosa: A Mad Max Saga,7.9,2024,R,Action,George Miller,Anya Taylor-JoyChris HemsworthTom Burke
WALL·E,8.4,2008,G,Animation,Andrew Stanton,Andrew StantonPete DocterJim Reardon
Spider-Man: Beyond the Spider-Verse,7.1,2015,R,Animation,Joaquim Dos Santos,Shameik MooreHailee SteinfeldBrian Tyree Henry
Hercules,7.3,1997,G,Animation,Ron Clements,Ron ClementsJohn MuskerDon McEnery
Sing,7.1,2016,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonSeth MacFarlane
Castle in the Sky,8,1986,PG,Animation,Hayao Miyazaki,Hayao MiyazakiJonathan Swift
"Monsters, Inc.",8.1,2001,G,Animation,Pete Docter,Pete DocterJill CultonJeff Pidgeon
Tangled,7.7,2010,PG,Animation,Nathan Greno,Mandy MooreZachary LeviDonna Murphy
Up,8.3,2009,PG,Animation,Pete Docter,Pete DocterBob PetersonTom McCarthy
Toy Story,8.3,1995,G,Animation,John Lasseter,John LasseterPete DocterAndrew Stanton
Puss in Boots: The Last Wish,7.8,2022,PG,Animation,Joel Crawford,Paul FisherTommy SwerdlowTom Wheeler
Encanto,7.2,2021,PG,Animation,Jared Bush,Charise Castro SmithJared BushByron Howard
